Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,33pF,C5137486
C10,0402,1,100nF,C1525
"C3, C4, C5, C6, C7, C8, C9",0402,7,1uF,C52923
"C39, C40",0402,2,4.7uF,C23733
"D1, D2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B-2020,C5349955
F1,0805,1,Fuse,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"J5, J6",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15,
"R1, R2, R3, R4, R5",0402,5,5.1k,C25905
"R6, R7, R8",0402,3,10k,C25744
SW1,switch_button_TS-1088-AR02016,1,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S2,C2840995
U2,SOT-23-3,1,XC6206PxxxMR,C5446
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25MHz 20pF,C37635326
