Designator,Mid X,Mid Y,Rotation,Layer
C1,166.6,-114.2,180.0,top
C10,159.958948,-111.00617,200.0,top
C2,166.1,-118.45,5.0,top
C3,165.0,-113.012,262.0,top
C39,163.858538,-127.817701,130.0,top
C4,157.74,-120.572,0.0,top
C40,163.908538,-133.229701,30.0,top
C5,163.61,-111.692,4.0,top
C6,163.886,-113.734,90.0,top
C7,154.58,-119.032,260.0,top
C8,164.0132,-118.554,279.0,top
C9,159.79,-109.822,185.0,top
D1,157.47,-122.862,206.801,top
D2,159.55,-125.675,230.0,top
F1,162.95,-135.85,90.0,top
H2,160.075,-135.775,0.0,bottom
J1,160.0,-142.85,0.0,top
J5,149.84,-125.602,0.0,top
J6,170.16,-125.602,0.0,top
R1,157.46,-136.802,160.0,top
R2,161.19,-136.142,113.0,top
R3,157.28,-135.222,120.0,top
R4,158.17,-134.582,130.0,top
R5,162.76,-106.802,120.0,top
R6,165.3,-111.122,255.0,top
R7,157.35,-109.992,357.0,top
R8,157.92,-110.982,2.0,top
SW1,159.08,-107.502,180.0,top
U1,159.31,-116.012,0.0,top
U2,163.742846,-130.479701,80.0,top
Y1,165.736802,-116.193859,260.0,top
